                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 3.0256,                0.48193,                0.10503,                0.63811,                0.49581,                0.51742,                0.31816,                 2.6162,                0.54722,                0.06005,                 0.0001,                 0.0001,                 0.0001
                     95,                 3.0248,                0.48171,                0.10398,                0.63589,                0.49582,                0.51686,                0.31829,                 2.6161,                0.54664,                0.05989,                 0.0001,                 0.0001,                 0.0001
                     96,                  3.022,                0.48032,                 0.1066,                0.63563,                0.49703,                0.51744,                0.31825,                 2.6156,                0.54699,                0.06002,                 0.0001,                 0.0001,                 0.0001
                     97,                 3.0114,                0.48203,                0.10348,                0.63747,                0.49816,                0.51952,                0.31912,                 2.6149,                0.54753,                0.05978,                 0.0001,                 0.0001,                 0.0001
                     98,                 3.0192,                0.47902,                0.10639,                0.63429,                0.50022,                0.51967,                0.31973,                 2.6142,                0.54792,                0.05978,                 0.0001,                 0.0001,                 0.0001
                     99,                 3.0141,                0.48008,                0.10402,                0.63688,                0.49729,                0.51961,                0.31933,                 2.6139,                0.54726,                0.05977,                 0.0001,                 0.0001,                 0.0001
                    100,                 3.0068,                0.48285,                0.10422,                0.64204,                0.49771,                 0.5212,                0.32045,                 2.6417,                 0.5469,                0.05962,                 0.0001,                 0.0001,                 0.0001
                    101,                  3.007,                0.48115,                0.10267,                0.64321,                0.49905,                0.52266,                0.32136,                 2.6409,                0.54687,                0.05965,                 0.0001,                 0.0001,                 0.0001
                    102,                 2.9963,                0.48174,                0.10418,                0.64049,                0.50037,                 0.5225,                0.32183,                  2.641,                0.54667,                0.05965,                 0.0001,                 0.0001,                 0.0001
                    103,                 3.0004,                0.47996,                0.10407,                0.64147,                0.50142,                0.52299,                0.32158,                 2.6407,                0.54698,                0.05957,                 0.0001,                 0.0001,                 0.0001
                    104,                 3.0108,                0.48335,                0.10266,                0.64162,                0.50126,                0.52309,                0.32184,                  2.641,                0.54678,                0.05977,                 0.0001,                 0.0001,                 0.0001
                    105,                 3.0089,                0.47878,                0.10319,                  0.643,                0.50071,                0.52342,                0.32228,                  2.641,                0.54661,                0.05991,                 0.0001,                 0.0001,                 0.0001
                    106,                 2.9983,                0.48015,                  0.103,                0.64387,                0.49895,                0.52388,                0.32221,                 2.6402,                0.54718,                0.05992,                 0.0001,                 0.0001,                 0.0001
                    107,                 3.0077,                0.47891,                 0.1027,                0.64442,                0.50046,                0.52459,                0.32266,                   2.64,                0.54655,                0.05985,                 0.0001,                 0.0001,                 0.0001
